id,created_time,latency,service_time,done,times_forwarded
282,3.5250000000000163,0.06099999999999994,0.061,True,1
284,3.5500000000000167,0.03799999999999981,0.038,True,1
285,3.562500000000017,0.040999999999999925,0.041,True,1
286,3.575000000000017,0.028999999999999915,0.029,True,1
287,3.5875000000000172,0.02499999999999991,0.025,True,1
288,3.6000000000000174,0.04700000000000015,0.047,True,1
289,3.6125000000000176,0.040000000000000036,0.04,True,1
291,3.637500000000018,0.03399999999999981,0.034,True,1
290,3.6250000000000178,0.053999999999999826,0.054,True,1
292,3.650000000000018,0.03200000000000003,0.032,True,1
294,3.6750000000000185,0.0259999999999998,0.026,True,1
293,3.6625000000000183,0.039000000000000146,0.039,True,1
295,3.6875000000000187,0.03699999999999992,0.037,True,1
296,3.700000000000019,0.06199999999999983,0.062,True,1
298,3.725000000000019,0.039000000000000146,0.039,True,1
299,3.7375000000000194,0.03699999999999992,0.037,True,1
297,3.712500000000019,0.06999999999999984,0.07,True,1
300,3.7500000000000195,0.040000000000000036,0.04,True,1
301,3.7625000000000197,0.04599999999999982,0.046,True,1
302,3.77500000000002,0.04599999999999982,0.046,True,1
304,3.8000000000000203,0.02400000000000002,0.024,True,1
303,3.78750000000002,0.040999999999999925,0.041,True,1
305,3.8125000000000204,0.03299999999999992,0.033,True,1
306,3.8250000000000206,0.03399999999999981,0.034,True,1
307,3.837500000000021,0.02499999999999991,0.025,True,1
308,3.850000000000021,0.02300000000000013,0.023,True,1
310,3.8750000000000213,0.028999999999999915,0.029,True,1
309,3.862500000000021,0.04499999999999993,0.045,True,1
311,3.8875000000000215,0.02300000000000013,0.023,True,1
312,3.9000000000000217,0.039000000000000146,0.039,True,1
313,3.912500000000022,0.03299999999999992,0.033,True,1
314,3.925000000000022,0.029999999999999805,0.03,True,1
315,3.937500000000022,0.02300000000000013,0.023,True,1
316,3.9500000000000224,0.03200000000000003,0.032,True,1
317,3.9625000000000226,0.03699999999999992,0.037,True,1
320,4.000000000000023,0.03699999999999992,0.037,True,1
321,4.012500000000023,0.0389999999999997,0.039,True,1
322,4.0250000000000234,0.02799999999999958,0.028,True,1
318,3.9750000000000227,0.08300000000000018,0.083,True,1
319,3.987500000000023,0.07899999999999974,0.079,True,1
324,4.050000000000024,0.03200000000000003,0.032,True,1
323,4.037500000000024,0.04900000000000038,0.049,True,1
325,4.062500000000024,0.03300000000000036,0.033,True,1
326,4.075000000000024,0.041999999999999815,0.042,True,1
327,4.087500000000024,0.03000000000000025,0.03,True,1
328,4.1000000000000245,0.04900000000000038,0.049,True,1
329,4.112500000000025,0.04900000000000038,0.049,True,1
331,4.137500000000025,0.025000000000000355,0.025,True,1
330,4.125000000000025,0.04600000000000026,0.046,True,1
332,4.150000000000025,0.03300000000000036,0.033,True,1
335,4.187500000000026,0.02799999999999958,0.028,True,1
334,4.175000000000026,0.04300000000000015,0.043,True,1
333,4.162500000000025,0.057000000000000384,0.057,True,1
336,4.200000000000026,0.040000000000000036,0.04,True,1
338,4.225000000000026,0.03000000000000025,0.03,True,1
337,4.212500000000026,0.051000000000000156,0.051,True,1
339,4.2375000000000265,0.03599999999999959,0.036,True,1
340,4.250000000000027,0.040000000000000036,0.04,True,1
341,4.262500000000027,0.04900000000000038,0.049,True,1
342,4.275000000000027,0.043999999999999595,0.044,True,1
343,4.287500000000027,0.03500000000000014,0.035,True,1
344,4.300000000000027,0.057000000000000384,0.057,True,1
345,4.3125000000000275,0.05600000000000005,0.056,True,1
346,4.325000000000028,0.04800000000000004,0.048,True,1
347,4.337500000000028,0.05799999999999983,0.058,True,1
350,4.375000000000028,0.02799999999999958,0.028,True,1
349,4.362500000000028,0.052999999999999936,0.053,True,1
351,4.387500000000029,0.038000000000000256,0.038,True,1
348,4.350000000000028,0.07800000000000029,0.078,True,1
353,4.412500000000029,0.02400000000000002,0.024,True,1
352,4.400000000000029,0.04900000000000038,0.049,True,1
354,4.425000000000029,0.03200000000000003,0.032,True,1
355,4.437500000000029,0.04100000000000037,0.041,True,1
356,4.4500000000000295,0.04100000000000037,0.041,True,1
357,4.46250000000003,0.04600000000000026,0.046,True,1
358,4.47500000000003,0.04900000000000038,0.049,True,1
360,4.50000000000003,0.025000000000000355,0.025,True,1
359,4.48750000000003,0.04699999999999971,0.047,True,1
361,4.51250000000003,0.04300000000000015,0.043,True,1
362,4.5250000000000306,0.04499999999999993,0.045,True,1
